image_url,image_id,prod_name,page_link
https://m.media-amazon.com/images/I/81DXaQSca1L._AC_UL320_.jpg,81DXaQSca1L,"STYLEAONE Casual Sleeveless Solid Women White, Black & Red Tank Top (Pack of 3)",https://amazon.in/STYLEAONE-Casual-Sleeveless-Solid-Medium/dp/B08XQSVM9K/ref=sr_1_143?dchild=1&keywords=red+tops&qid=1619978911&sr=8-143
https://m.media-amazon.com/images/I/51X2gvSId3L._AC_UL320_.jpg,51X2gvSId3L,THE BLAZZE 1057 Women's Cotton Scoop Neck Full Sleeve Tank Crop Tops Bustier Bra Crop Top Bralette Readymade Saree Blouse for Women's,https://amazon.in/BLAZZE-Womens-Bustier-Bralette-Readymade/dp/B091P4GJQH/ref=sr_1_144?dchild=1&keywords=red+tops&qid=1619978911&sr=8-144
https://m.media-amazon.com/images/I/61eAX-FqLpL._AC_UL320_.jpg,61eAX-FqLpL,Allen Solly Women's Regular fit Top,https://amazon.in/Allen-Solly-Womens-Regular-AHCTMRGFR33742_Red_S/dp/B07VHK3K3G/ref=sr_1_145?dchild=1&keywords=red+tops&qid=1619978911&sr=8-145
https://m.media-amazon.com/images/I/718wBJs7spL._AC_UL320_.jpg,718wBJs7spL,GirlsNCurls Women's Round Neck Half Sleeve Velvet Slim Fit Crop Top Shirt,https://amazon.in/GirlsNCurls-Womens-Sleeve-Velvet-Shirt-Red/dp/B08S76JC4J/ref=sr_1_146?dchild=1&keywords=red+tops&qid=1619978911&sr=8-146
https://m.media-amazon.com/images/I/71DiWDBtjBL._AC_UL320_.jpg,71DiWDBtjBL,FAB STAR- LOOK GREAT FEEL GREAT. Women's Top,https://amazon.in/FAB-STAR-LOOK-GREAT-FEEL/dp/B07SKNBTBF/ref=sr_1_147?dchild=1&keywords=red+tops&qid=1619978911&sr=8-147
https://m.media-amazon.com/images/I/71QI47ijiaL._AC_UL320_.jpg,71QI47ijiaL,FAB STAR- LOOK GREAT FEEL GREAT. Rayon Top for Womens,https://amazon.in/STAR-LOOK-GREAT-FEEL-GREAT/dp/B091FWL7FW/ref=sr_1_148?dchild=1&keywords=red+tops&qid=1619978911&sr=8-148
https://m.media-amazon.com/images/I/61QJZ5WrhhL._AC_UL320_.jpg,61QJZ5WrhhL,"Vastraa Fusion"" Cotton Flex Short Kurti Top for Girls/Women - Red - Available in 09 Size Options (Up to 5XL)",https://amazon.in/Vastraa-Fusion-Cotton-Short-Kurti/dp/B07GR116ST/ref=sr_1_149?dchild=1&keywords=red+tops&qid=1619978911&sr=8-149
https://m.media-amazon.com/images/I/71uWk+3oO9L._AC_UL320_.jpg,71uWk+3oO9L,OOMPH! Women's Tops,https://amazon.in/OOMPH-Womens-Regular-mt17xxl_Scarlet-Red_XX-Large/dp/B07G86YB6K/ref=sr_1_150?dchild=1&keywords=red+tops&qid=1619978911&sr=8-150
https://m.media-amazon.com/images/I/818hl5f2k+L._AC_UL320_.jpg,818hl5f2k+L,Puma Women Crop Top(4056206014668_51396517_Pwrshape Forever Red Blast_L),https://amazon.in/Puma-513965-17-Pwrshape-Forever/dp/B01DLKF1KO/ref=sr_1_151?dchild=1&keywords=red+tops&qid=1619978911&sr=8-151
https://m.media-amazon.com/images/I/71IAkxIZnvL._AC_UL320_.jpg,71IAkxIZnvL,oxolloxo Women's Long Sleeve Graphic Top (Red),https://amazon.in/oxolloxo-Womens-Sleeve-Graphic-Red_Medium/dp/B0827FSC72/ref=sr_1_152?dchild=1&keywords=red+tops&qid=1619978911&sr=8-152
https://m.media-amazon.com/images/I/71rw5VaRmDL._AC_UL320_.jpg,71rw5VaRmDL,Sponsored Ad - Allen Solly Women's Regular fit Top,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03710341DBL0E8KPHY0I&url=%2FAllen-Solly-Womens-Regular-AHCTMRGF205313_Navy%2Fdp%2FB07X7J4JTG%2Fref%3Dsr_1_153_sspa%3Fdchild%3D1%26keywords%3Dred%2Btops%26qid%3D1619978911%26sr%3D8-153-spons%26psc%3D1&qualifier=1619978911&id=8931415979126838&widgetName=sp_btf
https://m.media-amazon.com/images/I/81Y46IeIwRL._AC_UL320_.jpg,81Y46IeIwRL,Sponsored Ad - Amazon Brand - Symbol Women's Regular T-Shirt,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03557451UVO9JB48D2CF&url=%2FAmazon-Brand-Regular-SYMSS19TS008_Deep-Red_Small%2Fdp%2FB07PXDQCBF%2Fref%3Dsr_1_154_sspa%3Fdchild%3D1%26keywords%3Dred%2Btops%26qid%3D1619978911%26sr%3D8-154-spons%26psc%3D1&qualifier=1619978911&id=8931415979126838&widgetName=sp_btf
https://m.media-amazon.com/images/I/81sOe+ka1DL._AC_UL320_.jpg,81sOe+ka1DL,Sponsored Ad - Amazon Brand - Symbol Women's Regular T-Shirt,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A09229161DK26QYK3RPA6&url=%2FAmazon-Brand-Regular-T-Shirt-SYMAW19TS031_Red%2Fdp%2FB07TS7LZ6F%2Fref%3Dsr_1_155_sspa%3Fdchild%3D1%26keywords%3Dred%2Btops%26qid%3D1619978911%26sr%3D8-155-spons%26psc%3D1&qualifier=1619978911&id=8931415979126838&widgetName=sp_btf
https://m.media-amazon.com/images/I/71QNxwm+8+L._AC_UL320_.jpg,71QNxwm+8+L,Sponsored Ad - Allen Solly Women's Regular fit Top,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg3_1?ie=UTF8&adId=A03690061WDJSZYDWXI6E&url=%2FAllen-Solly-Womens-Regular-AWFT517P004940_Red_Large%2Fdp%2FB07PJSYHW5%2Fref%3Dsr_1_156_sspa%3Fdchild%3D1%26keywords%3Dred%2Btops%26qid%3D1619978911%26sr%3D8-156-spons%26psc%3D1&qualifier=1619978911&id=8931415979126838&widgetName=sp_btf
https://m.media-amazon.com/images/I/61glmlDiUdL._AC_UL320_.jpg,61glmlDiUdL,Sponsored Ad - NAKED SLEEVE Cotton Lycra Women's Yellow Half Sleeves Round Neck Printed Tops-AA11576,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A084346739KAQ85EJPKRG&url=%2FNAKED-SLEEVE-Sleeves-Printed-Tops-AA11576_L%2Fdp%2FB093C9DGY2%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dyellow%2Btops%26qid%3D1619978919%26sr%3D8-1-spons%26psc%3D1&qualifier=1619978919&id=6737724415737615&widgetName=sp_atf
https://m.media-amazon.com/images/I/71H6B3wgXvL._AC_UL320_.jpg,71H6B3wgXvL,Sponsored Ad - NAKED SLEEVE Cotton Lycra Women's Yellow Half Sleeves Round Neck Printed Tops-AA11578,https://amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A08436231EIASU9THMBJ4&url=%2FNAKED-SLEEVE-Sleeves-Printed-Tops-AA11578_M%2Fdp%2FB093C7Y6S1%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dyellow%2Btops%26qid%3D1619978919%26sr%3D8-2-spons%26psc%3D1&qualifier=1619978919&id=6737724415737615&widgetName=sp_atf
https://m.media-amazon.com/images/I/71wy7jRGdsL._AC_UL320_.jpg,71wy7jRGdsL,OOMPH! Women's Crepe Tank Top - Slate Blue,https://amazon.in/OOMPH-Womens-Crepe-Tank-Top/dp/B07HKBCB88/ref=sr_1_3?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-3
https://m.media-amazon.com/images/I/31bi04GkOEL._AC_UL320_.jpg,31bi04GkOEL,Shanvi Women's Cotton Crop Top T-Shirt with Long Sleeves,https://amazon.in/Shanvi-Womens-Cotton-T-Shirt-Sleeves/dp/B08WKFF544/ref=sr_1_4?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-4
https://m.media-amazon.com/images/I/71iZi+AcqBL._AC_UL320_.jpg,71iZi+AcqBL,GRITSTONES Round Neck Printed Top GSWPNTTP1950,https://amazon.in/GRITSTONES-Womens-Printed-Yellow-Medium/dp/B07DN9NGKD/ref=sr_1_5?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-5
https://m.media-amazon.com/images/I/81CdWr8lr-L._AC_UL320_.jpg,81CdWr8lr-L,"J B Fashion Plain Imported Fabric Women Top with 3/4th Sleeves for Fancy top,Stylish top, Casual Wear Top for Women/Girls Top",https://amazon.in/Fashion-Womens-Plain-Regular-Fmania-top-178-XL_Yellow_X-Large/dp/B07PLVMQZK/ref=sr_1_6?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-6
https://m.media-amazon.com/images/I/71D5kQHZxBL._AC_UL320_.jpg,71D5kQHZxBL,ILLI LONDON Women's Top,https://amazon.in/ILLI-LONDON-Womens-Sleeve-Yellow/dp/B08KLN7RVC/ref=sr_1_7?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-7
https://m.media-amazon.com/images/I/71WpNb089uL._AC_UL320_.jpg,71WpNb089uL,GOD BLESS Regular Fit Women's Top,https://amazon.in/GOD-BLESS-Regular-Womens-Yellow/dp/B08L8RDSSH/ref=sr_1_8?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-8
https://m.media-amazon.com/images/I/81cXNCM9D7L._AC_UL320_.jpg,81cXNCM9D7L,POPWINGS Women's Top,https://amazon.in/POPWINGS-Womens-Casual-Floral-Chiffon/dp/B07L92LHJ9/ref=sr_1_9?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-9
https://m.media-amazon.com/images/I/71KZ-JCTLTL._AC_UL320_.jpg,71KZ-JCTLTL,Aahwan Women's & Girls' Solid Top (KV-133),https://amazon.in/Aahwan-Yellow-Formal-Drawstring-133-Yellow-S/dp/B08X4B52MD/ref=sr_1_10?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-10
https://m.media-amazon.com/images/I/81Ee5W6N-SL._AC_UL320_.jpg,81Ee5W6N-SL,Zizly Women's Regular Fit Top,https://amazon.in/Zizly-Womens-Floral-Regular-178-L_Yellow/dp/B08HHC21DN/ref=sr_1_11?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-11
https://m.media-amazon.com/images/I/41JQBB-ueGL._AC_UL320_.jpg,41JQBB-ueGL,ILLI LONDON Women's TOP,https://amazon.in/ILLI-LONDON-Womens-Yellow-Small/dp/B08TT3VFH1/ref=sr_1_12?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-12
https://m.media-amazon.com/images/I/71HW9rFTeUL._AC_UL320_.jpg,71HW9rFTeUL,Berrylush Yellow and White Floral Crop Top,https://amazon.in/Berrylush-Yellow-White-Floral-Top_Yellow_Small/dp/B08P5GKBPC/ref=sr_1_13?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-13
https://m.media-amazon.com/images/I/81h+UHst5IL._AC_UL320_.jpg,81h+UHst5IL,Globus Yellow Embroidered Top,https://amazon.in/Globus-S19CWT819-YELLOW-M-Yellow-Embroidered-Top/dp/B084JNMN27/ref=sr_1_14?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-14
https://m.media-amazon.com/images/I/81i0e6o+NwL._AC_UL320_.jpg,81i0e6o+NwL,New Ethical Fashion Women's Top,https://amazon.in/New-Ethical-Fashion-Womens-Straight/dp/B07VP17GJ8/ref=sr_1_15?dchild=1&keywords=yellow+tops&qid=1619978919&sr=8-15
